name,country_codes,avg_estimated_travel_time,security_deposit,weekly_price,monthly_price,price,Id,
Ocean View Waikiki Marina w/prkg,US,-7.5,NULL,650,2150,115,1,
Private Room in Bushwick,US,-7.5,NULL,NULL,NULL,40,2,
New York City - Upper West Side Apt,US,-7.5,0,NULL,NULL,135,3,
Charming Flat in Downtown Moda,TR,1.838541667,NULL,NULL,NULL,527,4,
Deluxe Loft Suite,US,-7.5,NULL,NULL,NULL,205,5,
Surry Hills Studio - Your Perfect Base in Sydney,AU,1.336805556,300,NULL,NULL,181,6,
Cozy house at Beyoğlu,TR,1.838541667,0,387,NULL,58,7,
Easy 1 Bedroom in Chelsea,US,-7.5,NULL,1000,NULL,145,8,
Sydney Hyde Park City Apartment (checkin from 6am),AU,1.336805556,800,NULL,NULL,185,9,
THE Place to See Sydney's FIREWORKS,AU,1.336805556,400,NULL,NULL,250,10,
GOLF ROYAL RESİDENCE TAXİM(1+1):3,TR,1.838541667,NULL,NULL,NULL,838,11,
GOLF ROYAL RESIDENCE SUİTES(2+1)-2,TR,1.838541667,NULL,NULL,NULL,997,12,
The LES Apartment,US,-7.5,200,NULL,NULL,150,13,
2 bedroom Upper east side,US,-7.5,0,NULL,NULL,275,14,
Double and triple rooms Blue mosque,TR,1.838541667,NULL,NULL,NULL,121,15,
Room Close to LGA and 35 mins to Times Square,US,-7.5,0,NULL,NULL,46,16,
A bedroom far away from home,US,-7.5,NULL,NULL,NULL,45,17,
Large railroad style 3 bedroom apt in Manhattan!,US,-7.5,199,NULL,NULL,180,18,
Resort-like living in Williamsburg,US,-7.5,NULL,1400,NULL,220,19,
Private Room (2)  in Guest House at Coogee Beach,AU,1.336805556,0,500,2000,64,20,
Roof double bed private room,TR,1.838541667,NULL,NULL,NULL,185,21,
Uygun nezih daire,TR,1.838541667,527,NULL,NULL,264,22,
"Friendly Apartment, 10m from Manly",AU,1.336805556,NULL,NULL,NULL,36,23,
Great studio opp. Narrabeen Lake,AU,1.336805556,0,NULL,NULL,117,24,
"Kailua-Kona, Kona Coast II 2b condo",US,-7.5,200,950,NULL,135,25,
"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",US,-7.5,NULL,NULL,NULL,499,26,
Makaha Valley Paradise with OceanView,US,-7.5,0,NULL,NULL,95,27,
~Ao Lele~ Flying Cloud,US,-7.5,300,NULL,NULL,185,28,
UWS Brownstone Near Central Park,US,-7.5,275,1702,6000,212,29,
Cozy Art Top Floor Apt in PRIME Williamsburg!,US,-7.5,300,NULL,NULL,175,30,
Private OceanFront - Bathtub Beach. Spacious House,US,-7.5,1000,NULL,NULL,795,31,
A large sunny bedroom,US,-7.5,NULL,NULL,NULL,35,32,
Room For Erasmus,TR,1.838541667,NULL,NULL,NULL,37,33,
,TR,1.838541667,NULL,NULL,NULL,105,34,
luxury apartment in istanbul taxsim,TR,1.838541667,0,2549,9828,269,35,
Banyan Bungalow,US,-7.5,250,NULL,NULL,100,36,
"Studio convenient to CBD, beaches, street parking.",AU,1.336805556,136,NULL,NULL,45,37,
Bondi Beach Dreaming 3-Bed House,AU,1.336805556,1000,2369,8802,399,38,
March 2019 availability! Oceanview on Sugar Beach!,US,-7.5,NULL,NULL,NULL,229,39,
Greenwich Fun and Luxury,AU,1.336805556,NULL,NULL,NULL,999,40,
The Garden Studio,AU,1.336805556,0,NULL,NULL,129,41,
Cheerful new renovated central apt,TR,1.838541667,0,NULL,NULL,264,42,
Cozy House in Ortaköy,TR,1.838541667,NULL,NULL,NULL,100,43,
Tropical Jungle Oasis,US,-7.5,250,NULL,NULL,125,44,
Luxury 1-Bdrm in Downtown Brooklyn,US,-7.5,250,NULL,NULL,144,45,
Whole Apt. in East Williamsburg,US,-7.5,200,NULL,NULL,125,46,
Jubilee By The Sea (Ocean Views),US,-7.5,500,NULL,NULL,325,47,
Sun filled comfortable apartment,AU,1.336805556,NULL,NULL,NULL,85,48,
Charming Spacious Park Slope Studio,US,-7.5,200,NULL,NULL,135,49,
Panoramic Ocean View Studio in  Quiet Setting,US,-7.5,200,NULL,NULL,120,50,
Nice Cosy Room In Taksim,TR,1.838541667,NULL,NULL,NULL,105,51,
Serene luxury in Harlem,US,-7.5,100,NULL,NULL,80,52,
"Kadiköy, Moda, close to transports",TR,1.838541667,NULL,NULL,NULL,137,53,
Nani La 'Ao (A Beautiful Day) Upstairs Suite,US,-7.5,100,550,2250,72,54,
Relaxing and Roomy in Crown Heights,US,-7.5,NULL,300,1000,50,55,
"Asia House, Garden Room, Princevile",US,-7.5,200,738,2900,139,56,
Bright Inner West Terrace Value+,AU,1.336805556,120,400,1600,65,57,
Designer's Historical Apartment,TR,1.838541667,NULL,NULL,NULL,385,58,
"Nişantaşı, safe, quality area.Very close to metro.",TR,1.838541667,0,3533,7878,417,59,
HUGE Bedroom in Lower East Side,US,-7.5,NULL,NULL,NULL,90,60,
BALAT,TR,1.838541667,NULL,4169,13699,685,61,
City View Apartment,TR,1.838541667,596,NULL,NULL,211,62,
well lit East Williamsburg apt.,US,-7.5,NULL,NULL,NULL,60,63,
Comfort Room in Istanbul,TR,1.838541667,NULL,NULL,NULL,53,64,
Big Private BR Steps to Barnard Columbia & Subways,US,-7.5,1500,NULL,NULL,128,65,
Artist Garden Duplex Ft. Greene - 2.5 Bedroom,US,-7.5,500,NULL,NULL,250,66,
Cozy Hell's Kitchen Apt,US,-7.5,1000,NULL,NULL,125,67,
Private Cozy Bedroom in Brooklyn,US,-7.5,100,NULL,NULL,47,68,
Aquilla House - Ocean Views Newport,AU,1.336805556,1000,2500,NULL,500,69,
Private Entrance - Backyard Summer Dining - Enjoy,US,-7.5,400,900,3800,110,70,
"Waterfront, Enchanted Lake Home 2/1",US,-7.5,250,NULL,NULL,189,71,
aOceanside Hawaii Apartment Studio Kitchen Parking,US,-7.5,NULL,NULL,NULL,99,72,
Makai Hideaway,US,-7.5,200,732,2600,169,73,
Super location - Walk to the City!,AU,1.336805556,600,800,2900,119,74,
enjoy nature in Istanbul,TR,1.838541667,NULL,NULL,NULL,359,75,
The Executive  Posh Room,US,-7.5,150,270,845,90,76,
Holoholo Inn: Rain Forest (Priv-2),US,-7.5,NULL,NULL,NULL,105,77,
Brooklyn Artist Loft / Fun Location,US,-7.5,0,NULL,NULL,59,78,
East Village Sanctuary,US,-7.5,0,NULL,NULL,200,79,
Spacious room Kadıköy Yeldeğirmeni,TR,1.838541667,NULL,NULL,NULL,47,80,
Sunny 1 or 2 BR apt in Boerum Hill,US,-7.5,450,NULL,NULL,189,81,
2 Bdrm/2 Bath  Family Suite Ocean View,US,-7.5,300,NULL,NULL,325,82,
"Home, Sweet, Harlem. Welcome!",US,-7.5,0,NULL,NULL,110,83,
Nice Decorated Studio in Central,TR,1.838541667,1055,NULL,NULL,633,84,
Double Room,TR,1.838541667,NULL,NULL,NULL,359,85,
Burgazada da çarşıya yakın daire,TR,1.838541667,0,NULL,NULL,348,86,
A cosy room for female student,TR,1.838541667,0,NULL,NULL,90,87,
Cozy Chinatown studio apartment,US,-7.5,100,NULL,NULL,100,88,
"Bright, Bohemian, Spacious Apt in Williamsburg",US,-7.5,500,NULL,4000,125,89,
2 Bedroom in The East Village!,US,-7.5,NULL,NULL,NULL,125,90,
,TR,1.838541667,NULL,NULL,NULL,506,91,
302 Kanai A Nalu Ocean front/view,US,-7.5,200,NULL,NULL,400,92,
Large Duplex in Midtown East with backyard!,US,-7.5,500,NULL,NULL,350,93,
Prince Kuhio 315 ocean view steps to the beach,US,-7.5,0,NULL,NULL,234,94,
Pineapple Paradise,US,-7.5,250,1032,3568,135,95,
Executive Luxury design Apartment,AU,1.336805556,NULL,NULL,NULL,461,96,
Sugar Beach Resort 1BR Ground Floor Condo !,US,-7.5,0,NULL,NULL,239,97,
Amazing Upper West Side Loft-Studio,US,-7.5,1000,NULL,3250,79,98,
Huge bedroom in luxurious apartment,US,-7.5,NULL,NULL,NULL,40,99,
Furnished Nolita Studio,US,-7.5,500,1200,NULL,200,100,
HAPPY TO HELP YOU,TR,1.838541667,NULL,NULL,NULL,227,101,
Cottage on Kona Coffee Farm,US,-7.5,NULL,NULL,NULL,65,102,
Bundeena Garden Studio near beaches,AU,1.336805556,200,NULL,NULL,109,103,
Quiet room in central Istanbul,TR,1.838541667,NULL,596,2085,95,104,
Beautiful Ensuite Room -Easy access to city,AU,1.336805556,NULL,NULL,NULL,75,105,
Midillis 202 (Double Room),TR,1.838541667,NULL,NULL,NULL,148,106,
Harbourside Apartment - Water Views,AU,1.336805556,150,1000,3800,161,107,
ROOM + ENSUITE INNER CITY MOD HOUSE,AU,1.336805556,NULL,850,3200,125,108,
The Sassy Lilac Megan Love Room,US,-7.5,NULL,NULL,NULL,100,109,
Luxury 1 Bedroom Central Park Views,US,-7.5,NULL,NULL,7500,1000,110,
Brooklyn Bushwhick Private Room,US,-7.5,NULL,NULL,NULL,35,111,
"Cosy flat,walking distance tocenter",TR,1.838541667,NULL,NULL,NULL,190,112,
1 BR 1/2 block to A/B/C/D trains,US,-7.5,200,NULL,1764,48,113,
6 min. walk to metro & metrobus,TR,1.838541667,1845,NULL,NULL,100,114,
* Lani Beach House,US,-7.5,0,NULL,NULL,895,115,
Brick House: Unique Garden Apartment! King Bed!,US,-7.5,100,NULL,NULL,125,116,
"Big, glamorous, 4BR, 3-story house",US,-7.5,500,2999,6999,499,117,
Fresh and modern 1BR in Bed-Stuy,US,-7.5,250,625,2400,79,118,
"Bright, sunny quite room Bushwick",US,-7.5,NULL,NULL,NULL,60,119,
"Bright, Modern, Spacious Duplex Apt",US,-7.5,350,630,NULL,90,120,
The Local Nook // Cozy Kona Hale,US,-7.5,200,NULL,NULL,150,121,
Museum Mile 1 BR - Madison Ave,US,-7.5,500,NULL,NULL,133,122,
"1 bedroom in Astoria, Queens",US,-7.5,NULL,NULL,NULL,65,123,
The Ohana at Volcanoes National Park!,US,-7.5,500,NULL,NULL,100,124,
Charming Private Brooklyn Bedroom,US,-7.5,NULL,NULL,NULL,105,125,
*CoZy Private Williamsburg Home*,US,-7.5,1000,NULL,NULL,225,126,
2 BR Oceanview - Great Location!,US,-7.5,300,NULL,NULL,200,127,
Cute apt in artist's home,US,-7.5,NULL,550,NULL,85,128,
Bondi beach sunny house,AU,1.336805556,NULL,NULL,NULL,55,129,
Two Bed Room Spacious brand new,AU,1.336805556,200,NULL,NULL,124,130,
Göztepe Single Room,TR,1.838541667,0,NULL,NULL,42,131,
"Conveniently Located, Sunny Brooklyn Heights!",US,-7.5,150,1244,4200,150,132,
Luxury Style Space: ideal for short or longterm!,US,-7.5,0,NULL,NULL,38,133,
Inner City Terrace - 2 rooms 2 beds - 4 ppl.,AU,1.336805556,0,NULL,NULL,171,134,
Cozy&clean room in Sisli next to subway,TR,1.838541667,NULL,NULL,NULL,158,135,
Spacious Four Bedroom Terrace,AU,1.336805556,NULL,NULL,NULL,650,136,
Bright Room in Spacious Astoria Apt,US,-7.5,NULL,NULL,NULL,65,137,
PALMS AT WAILEA #905-2BR-REMODELED-LARGE LANAI-AC,US,-7.5,NULL,NULL,NULL,240,138,
Beyoğlunda Şirin Kullanışlı Stüdyo2,TR,1.838541667,NULL,NULL,NULL,90,139,
taksim de lux studyo,TR,1.838541667,NULL,NULL,NULL,269,140,
Sunny Courtyard Apartment - Sydney,AU,1.336805556,NULL,NULL,NULL,165,141,
2 BR Queen Size Sunny - Nolita,US,-7.5,400,NULL,NULL,250,142,
Direct Oceanfront - Unit 149,US,-7.5,150,NULL,NULL,139,143,
Cottage in Bondi/Tamarama,AU,1.336805556,0,NULL,NULL,242,144,
Cruisy apartment by the sea,AU,1.336805556,NULL,NULL,NULL,151,145,
Amazing Ocean View Condo in Wailea!,US,-7.5,300,NULL,NULL,345,146,
